updated,md5sum,filesize,original_filename,archive_filename,airmass,ra_range,dec_range,ra,dec,ifilter,seeing,depth,exposure,expnum,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,object,proc_type,prod_type,survey,caldat,collections
2021-06-02T12:17:05.474938+0000,270ce03aa8c00a42a231760f02fc6d5f,388172160,/data_local/images/DTS/2013B-0613/DECam_00257835.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_013936_osi_g_NGFS.fits.fz,1.19,"{'gte': 54.95904166666666, 'lte': 54.95904166666666}","{'gte': -37.34763888888889, 'lte': -37.34763888888889}",54.95904166666666,-37.34763888888889,g DECam SDSS c0001 4720.0 1520.0,None,,3000.0,0,2013-11-25,2013-11-25T01:33:45.400704+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 5-1,stacked,image,,2013-11-24,[None]
2021-06-27T17:39:20.880696+0000,28a911f0dbba0a62a2319d26f7877a6f,284918400,/data_local/images/DTS/2013B-0613/DECam_00257794.fits.fz,/net/archive/pipe/20131123/ct4m/2013B-0613/c4d_131124_052132_osw_i_NGFS.fits.fz,1.04,"{'gte': 54.55233333333333, 'lte': 54.55233333333333}","{'gte': -35.53791666666667, 'lte': -35.53791666666667}",54.55233333333333,-35.53791666666667,i DECam SDSS c0003 7835.0 1470.0,None,,520.0,0,2013-11-24,2013-11-24T05:20:09.478074+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 1-1 hexa,stacked,wtmap,,2013-11-23,[None]
2021-06-02T09:01:06.989791+0000,290b28169987178d234bd748e5a153d4,1025280,/data_local/images/DTS/2013B-0613/DECam_00257827.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_010807_osd_g_NGFS.fits.fz,1.31,"{'gte': 56.23095833333333, 'lte': 56.23095833333333}","{'gte': -34.38388888888889, 'lte': -34.38388888888889}",56.23095833333333,-34.38388888888889,g DECam SDSS c0001 4720.0 1520.0,None,,3000.0,0,2013-11-25,2013-11-25T01:02:15.285391+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 7-1,stacked,dqmask,,2013-11-24,[None]
2021-06-02T12:17:06.977560+0000,273435eab962a246c6b7cd8c0f95106d,283224960,/data_local/images/DTS/2013B-0613/DECam_00257840.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_020237_osw_g_NGFS.fits.fz,1.11,"{'gte': 52.847583333333326, 'lte': 52.847583333333326}","{'gte': -36.690916666666666, 'lte': -36.690916666666666}",52.847583333333326,-36.690916666666666,g DECam SDSS c0001 4720.0 1520.0,None,,2700.0,0,2013-11-25,2013-11-25T01:56:45.146037+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 4-2,stacked,wtmap,,2013-11-24,[None]
2021-06-13T12:35:50.119194+0000,3276f1f867740563a60319695a6b40c1,1848960,/data_local/images/DTS/2013B-0613/DECam_00258030.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_045246_osd_i_NGFS.fits.fz,1.02,"{'gte': 54.15708333333333, 'lte': 54.15708333333333}","{'gte': -33.70236111111112, 'lte': -33.70236111111112}",54.15708333333333,-33.70236111111112,i DECam SDSS c0003 7835.0 1470.0,None,,4800.0,0,2013-11-27,2013-11-27T04:46:53.101647+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 2-2,stacked,dqmask,,2013-11-26,[None]
2021-06-02T08:17:45.341869+0000,2cf249814b4e905d9f931ec068bff9ac,1065600,/data_local/images/DTS/2013B-0613/DECam_00257844.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_021538_osd_g_NGFS.fits.fz,1.12,"{'gte': 56.62458333333332, 'lte': 56.62458333333332}","{'gte': -36.196, 'lte': -36.196}",56.62458333333332,-36.196,g DECam SDSS c0001 4720.0 1520.0,None,,2700.0,0,2013-11-25,2013-11-25T02:09:46.144540+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 6-2,stacked,dqmask,,2013-11-24,[None]
2020-11-18T18:34:41.331621+0000,3207ac5939ac5f333b5fb4fc4ea96cef,169634880,/data_local/images/DTS/2013B-0613/DECam_00257806.fits.fz,/net/archive/pipeline/Q20141225/DEC13B/20131123/c4d_131124_061420_osw_i_v1.fits.fz,1.14,"{'gte': 51.109416666666654, 'lte': 51.109416666666654}","{'gte': -37.84638888888889, 'lte': -37.84638888888889}",51.109416666666654,-37.84638888888889,i DECam SDSS c0003 7835.0 1470.0,None,,2100.0,0,2013-11-24,2013-11-24T06:08:27.912142+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 13-1,stacked,wtmap,,2013-11-23,[None]
2020-11-18T20:57:38.413025+0000,6483a7b6bf24239a420ad348dc741be8,164534400,/data_local/images/DTS/2013B-0613/DECam_00258031.fits.fz,/net/archive/pipeline/Q20141225/DEC13B/20131123/c4d_131127_045815_osw_i_v1.fits.fz,1.03,"{'gte': 52.476499999999994, 'lte': 52.476499999999994}","{'gte': -34.88088888888889, 'lte': -34.88088888888889}",52.476499999999994,-34.88088888888889,i DECam SDSS c0003 7835.0 1470.0,None,,2400.0,0,2013-11-27,2013-11-27T04:52:23.982119+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 3-2,stacked,wtmap,,2013-11-26,[None]
2021-06-13T12:37:11.657399+0000,309b5841347c2dcd33d88ed3c911d91a,390337920,/data_local/images/DTS/2013B-0613/DECam_00258038.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_051859_osi_i_NGFS.fits.fz,1.04,"{'gte': 56.62479166666666, 'lte': 56.62479166666666}","{'gte': -36.196999999999996, 'lte': -36.196999999999996}",56.62479166666666,-36.196999999999996,i DECam SDSS c0003 7835.0 1470.0,None,,3900.0,0,2013-11-27,2013-11-27T05:13:00.861389+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 6-2,stacked,image,,2013-11-26,[None]
2021-06-27T17:39:19.930282+0000,2f16cc162ab31e7831a03e6e5463f594,32388480,/data_local/images/DTS/2013B-0613/DECam_00257794.fits.fz,/net/archive/pipe/20131123/ct4m/2013B-0613/c4d_131124_052132_ose_i_NGFS.fits.fz,1.04,"{'gte': 54.55233333333333, 'lte': 54.55233333333333}","{'gte': -35.53791666666667, 'lte': -35.53791666666667}",54.55233333333333,-35.53791666666667,i DECam SDSS c0003 7835.0 1470.0,None,,520.0,0,2013-11-24,2013-11-24T05:20:09.478074+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 1-1 hexa,stacked,expmap,,2013-11-23,[None]
2021-06-03T09:01:50.736217+0000,332f384cd25729073a8ac11ad653af6e,386936640,/data_local/images/DTS/2013B-0613/DECam_00257836.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_014037_osj_g_NGFS.fits.fz,1.17,"{'gte': 54.54962499999999, 'lte': 54.54962499999999}","{'gte': -35.53491666666667, 'lte': -35.53491666666667}",54.54962499999999,-35.53491666666667,g DECam SDSS c0001 4720.0 1520.0,None,,450.0,0,2013-11-25,2013-11-25T01:39:15.530480+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 1-2 hexa,stacked,image1,,2013-11-24,[None]
2020-11-18T18:34:45.424613+0000,32f9cfb4fa19637eeb3bdda077872d18,387057600,/data_local/images/DTS/2013B-0613/DECam_00258035.fits.fz,/net/archive/pipeline/Q20141226/DEC13B/20131123/c4d_131127_050651_osj_i_v1.fits.fz,1.04,"{'gte': 54.95662499999999, 'lte': 54.95662499999999}","{'gte': -37.35152777777778, 'lte': -37.35152777777778}",54.95662499999999,-37.35152777777778,i DECam SDSS c0003 7835.0 1470.0,None,,270.0,0,2013-11-27,2013-11-27T05:05:29.501039+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 5-2 hexa,stacked,image1,,2013-11-26,[None]
2020-11-18T20:57:37.000797+0000,1e795626b7884226e8d6c801ccbc663b,13118400,/data_local/images/DTS/2013B-0613/DECam_00257807.fits.fz,/net/archive/pipeline/Q20141225/DEC13B/20131123/c4d_131124_061517_ose_i_v1.fits.fz,1.15,"{'gte': 51.10912499999999, 'lte': 51.10912499999999}","{'gte': -37.84677777777778, 'lte': -37.84677777777778}",51.10912499999999,-37.84677777777778,i DECam SDSS c0003 7835.0 1470.0,None,,300.0,0,2013-11-24,2013-11-24T06:13:55.646062+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,Fornax 13-1,stacked,expmap,,2013-11-23,[None]
2020-11-19T12:35:12.044886+0000,1e93809735ea2fa5b6d184b9f6bb15a4,12098880,/data_local/images/DTS/2013B-0613/DECam_00258032.fits.fz,/net/archive/pipeline/Q20141225/DEC13B/20131123/c4d_131127_045920_ose_i_v1.fits.fz,1.04,"{'gte': 52.84508333333332, 'lte': 52.84508333333332}","{'gte': -36.69488888888888, 'lte': -36.69488888888888}",52.84508333333332,-36.69488888888888,i DECam SDSS c0003 7835.0 1470.0,None,,270.0,0,2013-11-27,2013-11-27T04:57:56.833874+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 4-2 hexa,stacked,expmap,,2013-11-26,[None]
2021-06-13T12:36:01.032460+0000,3abcb3f34289689e8e2cfa578d622f5a,288728640,/data_local/images/DTS/2013B-0613/DECam_00258031.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_045815_osw_i_NGFS.fits.fz,1.03,"{'gte': 52.487583333333326, 'lte': 52.487583333333326}","{'gte': -34.880916666666664, 'lte': -34.880916666666664}",52.487583333333326,-34.880916666666664,i DECam SDSS c0003 7835.0 1470.0,None,,3300.0,0,2013-11-27,2013-11-27T04:52:23.982119+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 3-2,stacked,wtmap,,2013-11-26,[None]
2021-06-13T12:37:10.458079+0000,24d06ea411031976bf9fe1f53ea00a2b,1172160,/data_local/images/DTS/2013B-0613/DECam_00258038.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_051859_osd_i_NGFS.fits.fz,1.04,"{'gte': 56.62479166666666, 'lte': 56.62479166666666}","{'gte': -36.196999999999996, 'lte': -36.196999999999996}",56.62479166666666,-36.196999999999996,i DECam SDSS c0003 7835.0 1470.0,None,,3900.0,0,2013-11-27,2013-11-27T05:13:00.861389+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 6-2,stacked,dqmask,,2013-11-26,[None]
2020-11-18T18:34:40.998103+0000,7223b09b6879f61c3e1f6cf986acc2ca,387550080,/data_local/images/DTS/2013B-0613/DECam_00257803.fits.fz,/net/archive/pipeline/Q20141225/DEC13B/20131123/c4d_131124_060203_osi_i_v1.fits.fz,1.08,"{'gte': 56.22879166666666, 'lte': 56.22879166666666}","{'gte': -34.385777777777776, 'lte': -34.385777777777776}",56.22879166666666,-34.385777777777776,i DECam SDSS c0003 7835.0 1470.0,None,,2400.0,0,2013-11-24,2013-11-24T05:56:10.845313+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 7-1,stacked,image,,2013-11-23,[None]
2020-11-18T18:33:50.672704+0000,38001225ad95b5ddebbedb707cd91930,166893120,/data_local/images/DTS/2013B-0613/DECam_00257805.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131124_060846_osw_i_v1.fits.fz,1.12,"{'gte': 52.11574999999999, 'lte': 52.11574999999999}","{'gte': -33.06830555555556, 'lte': -33.06830555555556}",52.11574999999999,-33.06830555555556,i DECam SDSS c0003 7835.0 1470.0,None,,2400.0,0,2013-11-24,2013-11-24T06:02:53.571469+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 10-1,stacked,wtmap,,2013-11-23,[None]
2021-06-02T14:17:10.519324+0000,2919658f6d4d6561c39dbb3bece33daa,389833920,/data_local/images/DTS/2013B-0613/DECam_00257834.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_013406_osi_g_NGFS.fits.fz,1.19,"{'gte': 54.95562499999999, 'lte': 54.95562499999999}","{'gte': -37.34419444444445, 'lte': -37.34419444444445}",54.95562499999999,-37.34419444444445,g DECam SDSS c0001 4720.0 1520.0,None,,340.0,0,2013-11-25,2013-11-25T01:32:45.951676+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 5-1 hexa,stacked,image,,2013-11-24,[None]
2021-06-13T12:36:00.682055+0000,724af1720b8cb51df052e6c97a0aa6e1,392713920,/data_local/images/DTS/2013B-0613/DECam_00258031.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_045815_osi_i_NGFS.fits.fz,1.03,"{'gte': 52.487583333333326, 'lte': 52.487583333333326}","{'gte': -34.880916666666664, 'lte': -34.880916666666664}",52.487583333333326,-34.880916666666664,i DECam SDSS c0003 7835.0 1470.0,None,,3300.0,0,2013-11-27,2013-11-27T04:52:23.982119+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 3-2,stacked,image,,2013-11-26,[None]
2021-06-27T17:40:00.538921+0000,39d126cd1aba6aef492d2cfc49320408,386409600,/data_local/images/DTS/2013B-0613/DECam_00258027.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_044023_osi_i_NGFS.fits.fz,1.01,"{'gte': 56.62333333333333, 'lte': 56.62333333333333}","{'gte': -36.19877777777778, 'lte': -36.19877777777778}",56.62333333333333,-36.19877777777778,i DECam SDSS c0003 7835.0 1470.0,None,,360.0,0,2013-11-27,2013-11-27T04:39:01.549745+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 6-1 hexa,stacked,image,,2013-11-26,[None]
2021-06-27T17:39:19.482577+0000,40ca68d6769fc8b1adda9a8a00a45d51,855360,/data_local/images/DTS/2013B-0613/DECam_00257794.fits.fz,/net/archive/pipe/20131123/ct4m/2013B-0613/c4d_131124_052132_osd_i_NGFS.fits.fz,1.04,"{'gte': 54.55233333333333, 'lte': 54.55233333333333}","{'gte': -35.53791666666667, 'lte': -35.53791666666667}",54.55233333333333,-35.53791666666667,i DECam SDSS c0003 7835.0 1470.0,None,,520.0,0,2013-11-24,2013-11-24T05:20:09.478074+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 1-1 hexa,stacked,dqmask,,2013-11-23,[None]
2021-06-27T17:39:42.757567+0000,002d34f1a55c3661458f470b0819b7b9,388935360,/data_local/images/DTS/2013B-0613/DECam_00258035.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_050651_osi_i_NGFS.fits.fz,1.04,"{'gte': 54.955208333333324, 'lte': 54.955208333333324}","{'gte': -37.34841666666667, 'lte': -37.34841666666667}",54.955208333333324,-37.34841666666667,i DECam SDSS c0003 7835.0 1470.0,None,,380.0,0,2013-11-27,2013-11-27T05:05:29.501039+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 5-2 hexa,stacked,image,,2013-11-26,[None]
2020-11-19T10:31:43.563743+0000,02ac3def98184884f846a0ed05f252d0,388425600,/data_local/images/DTS/2013B-0613/DECam_00257795.fits.fz,/net/archive/pipeline/Q20141226/DEC13B/20131123/c4d_131124_052702_osj_i_v1.fits.fz,1.04,"{'gte': 54.54808333333333, 'lte': 54.54808333333333}","{'gte': -35.538805555555555, 'lte': -35.538805555555555}",54.54808333333333,-35.538805555555555,i DECam SDSS c0003 7835.0 1470.0,None,,2700.0,0,2013-11-24,2013-11-24T05:21:09.143792+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 1-1,stacked,image1,,2013-11-23,[None]
2020-11-18T18:33:52.119909+0000,1b5acb1341cd7df56e715d39dc2ee69d,388785600,/data_local/images/DTS/2013B-0613/DECam_00257827.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131125_010807_osj_g_v1.fits.fz,1.31,"{'gte': 56.23091666666666, 'lte': 56.23091666666666}","{'gte': -34.38388888888889, 'lte': -34.38388888888889}",56.23091666666666,-34.38388888888889,g DECam SDSS c0001 4720.0 1520.0,None,,3000.0,0,2013-11-25,2013-11-25T01:02:15.285391+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 7-1,stacked,image1,,2013-11-24,[None]
2020-11-18T18:34:42.393933+0000,01b07942c20be631d7f7530cb7944ac9,389021760,/data_local/images/DTS/2013B-0613/DECam_00258031.fits.fz,/net/archive/pipeline/Q20141225/DEC13B/20131123/c4d_131127_045815_osi_i_v1.fits.fz,1.03,"{'gte': 52.476499999999994, 'lte': 52.476499999999994}","{'gte': -34.88088888888889, 'lte': -34.88088888888889}",52.476499999999994,-34.88088888888889,i DECam SDSS c0003 7835.0 1470.0,None,,2400.0,0,2013-11-27,2013-11-27T04:52:23.982119+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 3-2,stacked,image,,2013-11-26,[None]
2020-11-18T18:34:41.324205+0000,33c82c6960efbefc87239e0af6c6b775,387806400,/data_local/images/DTS/2013B-0613/DECam_00257806.fits.fz,/net/archive/pipeline/Q20141225/DEC13B/20131123/c4d_131124_061420_osi_i_v1.fits.fz,1.14,"{'gte': 51.109416666666654, 'lte': 51.109416666666654}","{'gte': -37.84638888888889, 'lte': -37.84638888888889}",51.109416666666654,-37.84638888888889,i DECam SDSS c0003 7835.0 1470.0,None,,2100.0,0,2013-11-24,2013-11-24T06:08:27.912142+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 13-1,stacked,image,,2013-11-23,[None]
2020-11-18T19:14:38.018464+0000,33ed275ed4e2f4fdbedbb8a13c09f6d9,163716480,/data_local/images/DTS/2013B-0613/DECam_00257832.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131125_012738_osw_g_v1.fits.fz,1.21,"{'gte': 54.165708333333335, 'lte': 54.165708333333335}","{'gte': -33.72536111111111, 'lte': -33.72536111111111}",54.165708333333335,-33.72536111111111,g DECam SDSS c0001 4720.0 1520.0,None,,3000.0,0,2013-11-25,2013-11-25T01:21:46.313054+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 2-1,stacked,wtmap,,2013-11-24,[None]
2021-06-27T17:39:20.875469+0000,024f6b1fe847ab29389b4659ae8fa748,391273920,/data_local/images/DTS/2013B-0613/DECam_00258032.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_045920_osi_i_NGFS.fits.fz,1.04,"{'gte': 52.85787499999999, 'lte': 52.85787499999999}","{'gte': -36.694916666666664, 'lte': -36.694916666666664}",52.85787499999999,-36.694916666666664,i DECam SDSS c0003 7835.0 1470.0,None,,340.0,0,2013-11-27,2013-11-27T04:57:56.833874+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 4-2 hexa,stacked,image,,2013-11-26,[None]
2020-11-18T18:33:51.929682+0000,1ca3234490aa249e8e3f590f13757e3b,982080,/data_local/images/DTS/2013B-0613/DECam_00257829.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131125_011501_osd_g_v1.fits.fz,1.23,"{'gte': 52.11833333333333, 'lte': 52.11833333333333}","{'gte': -33.06691666666667, 'lte': -33.06691666666667}",52.11833333333333,-33.06691666666667,g DECam SDSS c0001 4720.0 1520.0,None,,3000.0,0,2013-11-25,2013-11-25T01:09:09.146692+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 10-1,stacked,dqmask,,2013-11-24,[None]
2021-06-13T12:35:59.929819+0000,009e94a667ec47a863c90a40ee1d4c64,1180800,/data_local/images/DTS/2013B-0613/DECam_00258031.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_045815_osd_i_NGFS.fits.fz,1.03,"{'gte': 52.487583333333326, 'lte': 52.487583333333326}","{'gte': -34.880916666666664, 'lte': -34.880916666666664}",52.487583333333326,-34.880916666666664,i DECam SDSS c0003 7835.0 1470.0,None,,3300.0,0,2013-11-27,2013-11-27T04:52:23.982119+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 3-2,stacked,dqmask,,2013-11-26,[None]
2021-06-02T13:18:05.235365+0000,302935a8e85b1060c694f77a3b665c14,388442880,/data_local/images/DTS/2013B-0613/DECam_00257831.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_012139_osj_g_NGFS.fits.fz,1.19,"{'gte': 51.113833333333325, 'lte': 51.113833333333325}","{'gte': -37.84491666666667, 'lte': -37.84491666666667}",51.113833333333325,-37.84491666666667,g DECam SDSS c0001 4720.0 1520.0,None,,3300.0,0,2013-11-25,2013-11-25T01:15:47.121222+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 13-1,stacked,image1,,2013-11-24,[None]
2020-11-19T00:37:09.201445+0000,03e12b04fd5516561d346aa708995a77,789120,/data_local/images/DTS/2013B-0613/DECam_00257843.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131125_021007_osd_g_v1.fits.fz,1.12,"{'gte': 56.62545833333333, 'lte': 56.62545833333333}","{'gte': -36.19597222222222, 'lte': -36.19597222222222}",56.62545833333333,-36.19597222222222,g DECam SDSS c0001 4720.0 1520.0,None,,270.0,0,2013-11-25,2013-11-25T02:08:47.006527+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 6-2 hexa,stacked,dqmask,,2013-11-24,[None]
2020-11-18T18:34:45.651424+0000,0575d38bb93c5643e56d5dcd83d4d7db,1074240,/data_local/images/DTS/2013B-0613/DECam_00257805.fits.fz,/net/archive/pipeline/Q20141226/DEC13B/20131123/c4d_131124_060846_osd_i_v1.fits.fz,1.12,"{'gte': 52.11574999999999, 'lte': 52.11574999999999}","{'gte': -33.06830555555556, 'lte': -33.06830555555556}",52.11574999999999,-33.06830555555556,i DECam SDSS c0003 7835.0 1470.0,None,,2400.0,0,2013-11-24,2013-11-24T06:02:53.571469+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 10-1,stacked,dqmask,,2013-11-23,[None]
2020-11-18T18:33:52.051959+0000,200ad1339287e9144587e3f4352a293d,387213120,/data_local/images/DTS/2013B-0613/DECam_00257834.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131125_013406_osj_g_v1.fits.fz,1.19,"{'gte': 54.959083333333325, 'lte': 54.959083333333325}","{'gte': -37.34777777777778, 'lte': -37.34777777777778}",54.959083333333325,-37.34777777777778,g DECam SDSS c0001 4720.0 1520.0,None,,300.0,0,2013-11-25,2013-11-25T01:32:45.951676+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 5-1 hexa,stacked,image1,,2013-11-24,[None]
2020-11-18T18:37:45.305556+0000,6135171b4a07f56203a6c6bc71af2069,11177280,/data_local/images/DTS/2013B-0613/DECam_00257784.fits.fz,/net/archive/pipeline/Q20150109/DEC13B/20131123/c4d_131124_050127_ose_r_v1.fits.fz,1.0,"{'gte': 64.48749999999998, 'lte': 64.48749999999998}","{'gte': -33.79908333333333, 'lte': -33.79908333333333}",64.48749999999998,-33.79908333333333,r DECam SDSS c0002 6415.0 1480.0,None,,15.0,0,2013-11-24,2013-11-24T05:00:28.599222+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,,stacked,expmap,,2013-11-23,[None]
2020-11-18T19:15:24.940136+0000,2e81740e47ad866c7ab85b1f461f6041,346032000,/data_local/images/DTS/2013B-0613/DECam_00257789.fits.fz,/net/archive/pipeline/Q20150109/DEC13B/20131123/c4d_131124_051436_osi_r_v1.fits.fz,1.01,"{'gte': 59.999624999999995, 'lte': 59.999624999999995}","{'gte': -29.999916666666667, 'lte': -29.999916666666667}",59.999624999999995,-29.999916666666667,r DECam SDSS c0002 6415.0 1480.0,None,,150.0,0,2013-11-24,2013-11-24T05:13:13.560990+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,hexapod,stacked,image,,2013-11-23,[None]
2020-11-18T19:14:46.943617+0000,63d3c6de9777ed4114de43d612e73edc,164669760,/data_local/images/DTS/2013B-0613/DECam_00258033.fits.fz,/net/archive/pipeline/Q20141225/DEC13B/20131123/c4d_131127_050447_osw_i_v1.fits.fz,1.04,"{'gte': 52.84662499999999, 'lte': 52.84662499999999}","{'gte': -36.693999999999996, 'lte': -36.693999999999996}",52.84662499999999,-36.693999999999996,i DECam SDSS c0003 7835.0 1470.0,None,,2100.0,0,2013-11-27,2013-11-27T04:58:54.751972+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 4-2,stacked,wtmap,,2013-11-26,[None]
2021-06-03T06:16:48.715898+0000,00a30934b807b8ad5e3bdcd85e649662,22124160,/data_local/images/DTS/2013B-0613/DECam_00257834.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_013406_ose_g_NGFS.fits.fz,1.19,"{'gte': 54.95562499999999, 'lte': 54.95562499999999}","{'gte': -37.34419444444445, 'lte': -37.34419444444445}",54.95562499999999,-37.34419444444445,g DECam SDSS c0001 4720.0 1520.0,None,,340.0,0,2013-11-25,2013-11-25T01:32:45.951676+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 5-1 hexa,stacked,expmap,,2013-11-24,[None]
2020-11-18T18:33:52.611727+0000,35f23c3d1bc01998d17cb58727d399d8,967680,/data_local/images/DTS/2013B-0613/DECam_00257835.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131125_013936_osd_g_v1.fits.fz,1.19,"{'gte': 54.95899999999999, 'lte': 54.95899999999999}","{'gte': -37.34763888888889, 'lte': -37.34763888888889}",54.95899999999999,-37.34763888888889,g DECam SDSS c0001 4720.0 1520.0,None,,3000.0,0,2013-11-25,2013-11-25T01:33:45.400704+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 5-1,stacked,dqmask,,2013-11-24,[None]
2020-11-18T18:34:45.763647+0000,55508e0e4fa24bbf77583de9c2d80b7e,387383040,/data_local/images/DTS/2013B-0613/DECam_00258028.fits.fz,/net/archive/pipeline/Q20141226/DEC13B/20131123/c4d_131127_044123_osj_i_v1.fits.fz,1.02,"{'gte': 54.548791666666666, 'lte': 54.548791666666666}","{'gte': -35.53786111111111, 'lte': -35.53786111111111}",54.548791666666666,-35.53786111111111,i DECam SDSS c0003 7835.0 1470.0,None,,270.0,0,2013-11-27,2013-11-27T04:40:00.562384+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 1-2 hexa,stacked,image1,,2013-11-26,[None]
